index,name,fold_id,sgy_path,fb_path,NumberOfTrace,NumberOfLabeledTrace,SamplingRate,metadata_status
31,kks22-4,fold00,/home/dcuser/data/ActiveSeisField/kks22-4/0151_iras_AI_trctab_wolmo.sgy,/home/dcuser/data/ActiveSeisField/kks22-4/fbout_iras.npy,4263008,616344,4,provided
32,kuju_L1H,fold05,/home/dcuser/data/ActiveSeisField/kuju_L1H/AIRAS_TRCTAB_L1H_wolmo.sgy,/home/dcuser/data/ActiveSeisField/kuju_L1H/fb_L1H.npy,166400,77236,4,provided
33,kuju_L2H,fold05,/home/dcuser/data/ActiveSeisField/kuju_L2H/AIRAS_TRCTAB_L2H_wolmo.sgy,/home/dcuser/data/ActiveSeisField/kuju_L2H/fb_L2H.npy,52326,32215,4,provided
34,kuju_L3H-RPG,fold05,/home/dcuser/data/ActiveSeisField/kuju_L3H-RPG/AIRAS_TRCTAB_L3H-RPG_wolmo.sgy,/home/dcuser/data/ActiveSeisField/kuju_L3H-RPG/fb_L3H-RPG.npy,16199,11824,4,provided
35,kuju_L4H-RPG,fold05,/home/dcuser/data/ActiveSeisField/kuju_L4H-RPG/AIRAS_TRCTAB_L4H-RPG_wolmo.sgy,/home/dcuser/data/ActiveSeisField/kuju_L4H-RPG/fb_L4H-RPG.npy,17766,13526,4,provided
36,mooka2016,fold00,/home/dcuser/data/ActiveSeisField/mooka2016/data_TRCTAB__MDALL_SM.sgy,/home/dcuser/data/ActiveSeisField/mooka2016/FB-time_tomo_temp0530.npy,196686,55834,2,provided
37,noto21-2a,fold02,/home/dcuser/data/ActiveSeisField/noto21-2a/AIRAS_TRCTAB_Noto21-2a_wolmo.sgy,/home/dcuser/data/ActiveSeisField/noto21-2a/fb_Noto21-2a.npy,45500,44422,0.5,provided
38,noto21-2b,fold02,/home/dcuser/data/ActiveSeisField/noto21-2b/AIRAS_TRCTAB_Noto21-2b_wolmo.sgy,/home/dcuser/data/ActiveSeisField/noto21-2b/fb_Noto21-2b.crd.npy,192500,184388,0.5,provided
39,noto21-4,fold02,/home/dcuser/data/ActiveSeisField/noto21-4/AIRAS_TRCTAB_Noto21-4_wolmo.sgy,/home/dcuser/data/ActiveSeisField/noto21-4/fb_Noto21-4.npy,375084,339768,0.5,provided
40,noto21-5,fold02,/home/dcuser/data/ActiveSeisField/noto21-5/AIRAS_TRCTAB_Noto21-5_wolmo.sgy,/home/dcuser/data/ActiveSeisField/noto21-5/fb_Noto21-5.npy,268920,252318,0.5,provided
41,noto21-6,fold02,/home/dcuser/data/ActiveSeisField/noto21-6/AIRAS_TRCTAB_Noto21-6_wolmo.sgy,/home/dcuser/data/ActiveSeisField/noto21-6/fb_Noto21-6.npy,93636,82961,0.5,provided
42,noto_shikaH28-EW,fold02,/home/dcuser/data/ActiveSeisField/noto_shikaH28-EW/fdata_hset_shikaH28-EW.sgy,/home/dcuser/data/ActiveSeisField/noto_shikaH28-EW/fb_shikaH28-EW.npy,12375,11017,1,provided
43,noto_togi18,fold02,/home/dcuser/data/ActiveSeisField/noto_togi18/fdata_hset_togi18_rectified.sgy,/home/dcuser/data/ActiveSeisField/noto_togi18/fb_togi18.npy,,,,missing_from_user_table
44,okinawa2011_OH11-0A,fold01,/home/dcuser/data/ActiveSeisField/okinawa2011_OH11-0A/OH11-0A_shot_rec_geom_set_rectified.sgy,/home/dcuser/data/ActiveSeisField/okinawa2011_OH11-0A/OH11-A_fbtime.npy,,,,missing_from_user_table
45,okinawa2022_OH11-02,fold01,/home/dcuser/data/ActiveSeisField/okinawa2022_OH11-02/OH11-02_shot_rec_geom_set_rectified.sgy,/home/dcuser/data/ActiveSeisField/okinawa2022_OH11-02/OH11-2_fbtime.npy,,,,missing_from_user_table
46,okinawa2022_OH11-03,fold01,/home/dcuser/data/ActiveSeisField/okinawa2022_OH11-03/OH11-03_shot_rec_geom_set_rectified.sgy,/home/dcuser/data/ActiveSeisField/okinawa2022_OH11-03/OH11-3_fbtime.npy,,,,missing_from_user_table
47,okinawa2022_OH11-04,fold01,/home/dcuser/data/ActiveSeisField/okinawa2022_OH11-04/OH11-04_shot_rec_geom_set_rectified.sgy,/home/dcuser/data/ActiveSeisField/okinawa2022_OH11-04/OH11-4_fbtime.npy,,,,missing_from_user_table
48,okinawa2022_OH11-05,fold01,/home/dcuser/data/ActiveSeisField/okinawa2022_OH11-05/OH11-05_shot_rec_geom_set_rectified.sgy,/home/dcuser/data/ActiveSeisField/okinawa2022_OH11-05/OH11-5_fbtime.npy,,,,missing_from_user_table
49,shinjo22,fold05,/home/dcuser/data/ActiveSeisField/shinjo22/AIRAS_TRCTAB_shinjo22_wolmo.sgy,/home/dcuser/data/ActiveSeisField/shinjo22/fbout.npy,1347282,331553,2,provided
50,aso19-6,fold03,/home/dcuser/data/ActiveSeisField/aso19-6/input_TRCTAB_ml_fbpick_Aso19-6_wolmo.sgy,/home/dcuser/data/ActiveSeisField/aso19-6/fb_Aso19-6_okuda0205.npy,62048,24588,2,provided
51,jtsanage_L2K,fold04,/home/dcuser/data/ActiveSeisField/jtsanage_L2K/AIRAS_TRCTAB_L2K-SNG_wolmo.sgy,/home/dcuser/data/ActiveSeisField/jtsanage_L2K/L2K_SNG_fb_1217.npy,27816,20685,1,provided
52,noto21-3a,fold02,/home/dcuser/data/ActiveSeisField/noto21-3a/AIRAS_TRCTAB_Noto21-3A_wolmo.sgy,/home/dcuser/data/ActiveSeisField/noto21-3a/fb_Noto21-3A.npy,693289,381527,0.5,provided
53,okinawa2022_OH11-0B,fold01,/home/dcuser/data/ActiveSeisField/okinawa2022_OH11-0B/OH11-0B_shot_rec_geom_set.sgy,/home/dcuser/data/ActiveSeisField/okinawa2022_OH11-0B/OH11-B_fbtime.npy,281784,52158,2,provided
54,TSTKRES,fold04,/home/dcuser/data/ActiveSeisField/TSTKRES/shotgath.sgy,/home/dcuser/data/ActiveSeisField/TSTKRES/fb_time_all_1341ch.crd.0613.npy,431802,286735,2,provided
